timestamp,x,y,z,label
0.4634,95,88,-218,jump
0.5212,108,77,-226,jump
0.5791,131,68,-252,jump
0.6368,124,30,-249,jump
0.6946,113,15,-215,jump
0.7532,100,-64,-191,jump
0.8116,115,-55,-212,jump
0.87,104,-96,-183,jump
0.9293,125,-107,-191,jump
0.9885,112,-122,-178,jump
1.0471,130,-94,-189,jump
1.1063,127,-105,-200,jump
1.1647,129,-73,-212,jump
1.2231,124,-77,-197,jump
1.2813,123,-61,-209,jump
1.3396,116,-51,-203,jump
1.3981,133,-31,-225,jump
1.4558,130,-8,-221,jump
1.5132,131,-7,-216,jump
1.5709,114,21,-213,jump
1.6285,119,22,-216,jump
1.6862,115,45,-225,jump
1.744,115,63,-220,jump
1.8017,133,65,-232,jump
1.8582,98,80,-218,jump
1.9172,110,101,-223,jump
1.9752,94,109,-202,jump
2.0338,102,109,-218,jump
2.0916,92,108,-210,jump
2.1492,97,106,-203,jump
2.2071,97,107,-201,jump
2.266,106,113,-218,jump
2.3238,99,113,-208,jump
2.3815,96,108,-204,jump
2.4405,109,114,-219,jump
2.4982,97,107,-211,jump
2.5552,96,99,-203,jump
2.613,97,103,-204,jump
2.6717,110,110,-214,jump
2.7306,105,106,-212,jump
2.7895,103,104,-209,jump
2.8484,102,105,-205,jump
2.9072,113,109,-213,jump
2.9661,105,105,-208,jump
0.0779,111,107,-205,jump
0.1367,112,106,-204,jump
0.196,114,105,-204,jump
0.2547,115,107,-204,jump
0.3135,113,105,-204,jump
0.3725,113,109,-206,jump
0.4314,110,107,-203,jump
0.4905,114,106,-205,jump
0.5495,115,108,-205,jump
0.6084,114,102,-206,jump
0.6673,113,104,-202,jump
0.7264,120,101,-211,jump
0.7842,128,96,-219,jump
0.8421,117,83,-205,jump
0.9001,126,79,-214,jump
0.958,124,72,-205,jump
1.0158,129,54,-210,jump
1.0737,136,36,-212,jump
1.1318,136,13,-207,jump
1.1886,127,0,-199,jump
1.2475,146,-18,-204,jump
1.3065,146,-34,-211,jump
1.3655,141,-50,-207,jump
1.4245,126,-58,-199,jump
1.4833,132,-87,-202,jump
1.5421,131,-85,-207,jump
1.602,131,-104,-197,jump
1.6612,129,-116,-194,jump
1.7206,107,-132,-164,jump
1.7798,126,-151,-182,jump
1.8393,121,-141,-167,jump
1.8976,96,-185,-136,jump
1.957,102,-157,-156,jump
2.0164,115,-159,-156,jump
2.0759,117,-154,-144,jump
2.1351,116,-128,-184,jump
2.1934,138,-83,-203,jump
2.253,145,-102,-195,jump
2.3112,142,-66,-195,jump
2.3699,138,-61,-195,jump
2.4273,117,-1,-202,jump
2.4859,166,-17,-238,jump
2.5435,129,13,-225,jump
2.6011,118,18,-206,jump
2.659,108,43,-217,jump
2.7155,98,63,-211,jump
2.7734,109,96,-251,jump
2.8322,103,100,-235,jump
2.89,94,107,-211,jump
2.949,100,106,-211,jump
3.0066,93,104,-202,jump
0.03,67,37,-241,jump
0.0885,73,36,-239,jump
0.147,79,32,-233,jump
0.2053,74,37,-240,jump
0.2638,71,39,-239,jump
0.322,69,35,-237,jump
0.3806,69,33,-238,jump
0.4391,76,34,-255,jump
0.4973,62,21,-243,jump
0.5558,78,19,-254,jump
0.6141,95,10,-239,jump
0.6725,92,-7,-231,jump
0.7329,102,-53,-215,jump
0.7923,95,-68,-225,jump
0.8541,101,-107,-207,jump
0.9143,96,-114,-186,jump
0.9747,89,-133,-143,jump
1.035,88,-153,-158,jump
0.0662,121,-10,-221,jump
0.1274,116,-10,-215,jump
0.1885,117,-12,-224,jump
0.2488,120,-8,-227,jump
0.3098,121,-10,-222,jump
0.3709,119,-13,-233,jump
0.4318,119,-31,-235,jump
0.493,115,-38,-229,jump
0.5542,137,-72,-210,jump
0.6153,120,-96,-183,jump
0.6773,126,-145,-161,jump
0.7394,135,-146,-140,jump
0.8014,125,-158,-128,jump
0.8633,108,-190,-110,jump
0.9242,94,-204,-109,jump
0.9859,108,-181,-125,jump
1.0478,105,-190,-114,jump
1.1099,106,-197,-114,jump
1.1718,138,-136,-155,jump
1.2334,120,-188,-130,jump
1.2952,150,-124,-175,jump
1.3562,101,-92,-123,jump
1.4183,165,-117,-207,jump
1.4794,132,-29,-204,jump
1.5405,136,-48,-193,jump
1.6016,155,-22,-236,jump
1.6619,117,-3,-204,jump
1.7208,137,5,-211,jump
1.7806,110,33,-208,jump
1.8406,124,41,-243,jump
1.9006,111,51,-224,jump
1.9596,91,52,-218,jump
2.0196,100,63,-230,jump
2.0796,107,66,-223,jump
2.1396,104,69,-224,jump
2.1996,104,67,-225,jump
2.2586,93,65,-216,jump
2.3188,101,66,-217,jump
2.3789,103,72,-227,jump
2.4378,97,70,-224,jump
2.4968,96,69,-219,jump
2.5558,92,68,-220,jump
2.6149,97,76,-227,jump
2.6738,95,72,-220,jump
2.7328,96,74,-224,jump
2.7919,90,72,-218,jump
2.8507,97,76,-227,jump
2.9096,95,71,-223,jump
2.9684,94,71,-219,jump
0.04,103,62,-223,jump
0.1,103,64,-229,jump
0.1589,97,62,-225,jump
0.2189,100,62,-223,jump
0.2787,100,61,-225,jump
0.3375,99,56,-225,jump
0.3975,101,53,-230,jump
0.4574,121,22,-246,jump
0.5166,113,4,-219,jump
0.5775,123,-13,-213,jump
0.6386,129,-53,-219,jump
0.6997,123,-56,-206,jump
0.7605,120,-86,-189,jump
0.8216,122,-96,-194,jump
0.8827,123,-98,-195,jump
0.9445,119,-109,-190,jump
1.0066,123,-120,-182,jump
1.0687,125,-117,-177,jump
1.1307,135,-122,-179,jump
1.1928,136,-127,-178,jump
1.2549,127,-135,-169,jump
1.317,124,-136,-165,jump
1.379,121,-138,-160,jump
1.4412,132,-147,-172,jump
1.5034,119,-131,-160,jump
1.5656,120,-134,-172,jump
1.6276,135,-121,-185,jump
1.6896,132,-122,-175,jump
1.7518,142,-107,-184,jump
1.8138,127,-108,-173,jump
1.8748,137,-97,-192,jump
1.9358,128,-71,-188,jump
1.997,145,-72,-202,jump
2.058,131,-35,-200,jump
2.118,136,-7,-210,jump
2.1779,153,-4,-243,jump
2.2368,119,2,-215,jump
2.2958,98,21,-205,jump
2.3558,106,47,-226,jump
2.4159,116,56,-256,jump
2.4759,115,59,-227,jump
2.5348,99,53,-208,jump
2.5948,103,57,-219,jump
2.6548,104,62,-228,jump
2.7136,98,56,-225,jump
2.7737,103,60,-214,jump
2.8337,106,58,-223,jump
2.8937,110,58,-226,jump
2.9534,101,57,-219,jump
3.0136,114,60,-227,jump
0.0715,110,63,-221,jump
0.1317,110,63,-220,jump
0.1916,112,63,-221,jump
0.2513,111,62,-222,jump
0.3112,112,61,-225,jump
0.3711,118,59,-229,jump
0.4311,114,53,-223,jump
0.4911,125,45,-224,jump
0.5511,133,27,-230,jump
0.6101,125,7,-215,jump
0.6711,137,-12,-216,jump
0.7322,136,-25,-216,jump
0.7933,131,-41,-201,jump
0.8546,147,-57,-200,jump
0.9156,139,-66,-190,jump
0.9765,146,-76,-189,jump
1.0374,149,-88,-182,jump
1.0986,147,-96,-183,jump
1.1606,141,-103,-176,jump
1.2226,144,-114,-172,jump
1.2846,144,-119,-169,jump
1.3467,142,-128,-157,jump
1.4087,141,-135,-148,jump
1.4708,149,-128,-158,jump
1.5328,151,-137,-161,jump
1.5948,142,-148,-142,jump
1.6569,134,-136,-153,jump
1.719,142,-157,-145,jump
1.781,142,-148,-152,jump
1.8432,131,-150,-135,jump
1.9053,143,-154,-152,jump
1.9674,137,-139,-150,jump
2.0296,134,-148,-143,jump
2.0917,143,-131,-160,jump
2.1534,137,-126,-153,jump
2.2157,163,-119,-179,jump
2.2778,135,-102,-155,jump
2.3389,153,-88,-182,jump
2.3999,149,-67,-195,jump
2.4609,147,-58,-197,jump
2.522,152,-30,-197,jump
2.5831,131,-13,-193,jump
2.6431,154,11,-238,jump
2.703,126,25,-227,jump
2.7629,123,35,-217,jump
2.8229,107,52,-208,jump
2.883,122,63,-231,jump
2.943,121,67,-231,jump
3.0029,109,65,-215,jump
0.0396,51,50,-241,jump
0.0957,49,50,-244,jump
0.152,51,49,-244,jump
0.2082,49,50,-239,jump
0.2645,56,50,-254,jump
0.3206,42,44,-244,jump
0.3768,55,33,-244,jump
0.4331,90,25,-256,jump
0.0569,30,67,-237,jump
0.1131,34,65,-245,jump
0.1695,36,62,-236,jump
0.2256,47,62,-239,jump
0.2816,48,62,-236,jump
0.3379,45,61,-232,jump
0.3942,40,64,-235,jump
0.4503,41,67,-235,jump
0.5066,46,65,-240,jump
0.5629,48,65,-237,jump
